#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
Kepler-203 c,2294.0,14.14,Super Earth,2014,750.48,2.464,0.061,0.014784395,,Transit
Kepler-203 d,2294.0,14.14,Super Earth,2014,33.9,1.44,0.1,0.030937715,,Transit
Kepler-204 b,2240.0,13.977,Neptune-like,2014,6.94,2.5312,0.117,0.03942505,,Transit
Kepler-204 c,2240.0,13.977,Super Earth,2014,3.86,1.79,0.173,0.07036277,,Transit
Kepler-205 b,521.0,13.779,Super Earth,2014,2.89,1.51,0.032,0.007665982,,Transit
Kepler-205 c,521.0,13.779,Super Earth,2014,3.33,1.64,0.122,0.05557837,,Transit
Kepler-206 b,1939.0,13.507,Super Earth,2014,1.87,1.2,0.078,0.021355236,,Transit
Kepler-206 c,1939.0,13.507,Super Earth,2014,3.78,1.77,0.111,0.035865847,,Transit
Kepler-206 d,1939.0,13.507,Super Earth,2014,1.81,1.19,0.163,0.06406571,,Transit
Kepler-207 b,2856.0,13.164,Super Earth,2014,3.09,1.57,0.029,0.004380561,,Transit
Kepler-207 c,2856.0,13.164,Super Earth,2014,2.86,1.5,0.044,0.008487337,,Transit
Kepler-207 d,2856.0,13.164,Neptune-like,2014,11.0,3.304,0.068,0.01615332,,Transit
Kepler-208 b,2529.0,13.561,Super Earth,2014,3.29,1.63,0.054,0.011498973,,Transit
Kepler-208 c,2529.0,13.561,Super Earth,2014,2.51,1.39,0.079,0.02053388,,Transit
Kepler-208 d,2529.0,13.561,Super Earth,2014,1.87,1.2,0.103,0.030390145,,Transit
Kepler-208 e,2529.0,13.561,Super Earth,2014,2.79,1.48,0.132,0.044626966,,Transit
Kepler-209 b,1882.0,14.132,Neptune-like,2014,5.73,2.2624,0.122,0.044079397,,Transit
Kepler-209 c,1882.0,14.132,Neptune-like,2014,9.8,3.1024,0.231,0.11416838,,Transit
Kepler-20 b,922.0,12.61,Super Earth,2011,9.7,1.868,0.0463,0.010130048,0.03,Transit
Kepler-20 c,922.0,12.61,Neptune-like,2011,12.75,3.0464,0.0949,0.029842572,0.16,Transit
Kepler-20 d,922.0,12.61,Neptune-like,2011,10.07,2.744,0.3506,0.21245721,,Transit
Kepler-20 e,922.0,12.61,Terrestrial,2011,3.08,0.865,0.0639,0.01670089,,Transit
Kepler-20 f,922.0,12.61,Super Earth,2011,14.3,1.003,0.1396,0.053661875,,Transit
Kepler-20 g,922.0,12.61,Neptune-like,2016,19.96,4.704,0.2055,0.095551,0.15,Radial Velocity
Kepler-210 b,759.0,14.126,Neptune-like,2014,8.96,2.9344,0.032,0.006844627,,Transit
Kepler-210 c,759.0,14.126,Neptune-like,2014,12.8,3.6176,0.07,0.021902807,,Transit
Kepler-211 b,1009.0,13.448,Super Earth,2014,2.13,1.26,0.048,0.011225188,,Transit
Kepler-211 c,1009.0,13.448,Super Earth,2014,18.3,1.29,0.062,0.016427105,,Transit
Kepler-212 b,2242.0,13.129,Super Earth,2014,1.32,1.09,0.133,0.044626966,,Transit
Kepler-212 c,2242.0,13.129,Neptune-like,2014,7.95,2.7328,0.207,0.087063655,,Transit
Kepler-213 b,2071.0,13.705,Super Earth,2014,3.26,1.62,0.036,0.006844627,,Transit
Kepler-213 c,2071.0,13.705,Neptune-like,2014,6.08,2.3408,0.057,0.013141684,,Transit
Kepler-214 b,3942.0,14.057,Neptune-like,2014,7.32,2.6096,0.13,0.04298426,,Transit
Kepler-214 c,3942.0,14.057,Neptune-like,2014,5.18,2.13,0.194,0.0788501,,Transit
Kepler-215 b,1585.0,13.678,Super Earth,2014,3.26,1.62,0.084,0.025735795,,Transit
Kepler-215 c,1585.0,13.678,Super Earth,2014,3.78,1.77,0.113,0.040246405,,Transit
Kepler-215 d,1585.0,13.678,Super Earth,2014,23.6,2.3856,0.185,0.08459959,,Transit
Kepler-215 e,1585.0,13.678,Super Earth,2014,3.71,1.75,0.314,0.18672141,,Transit
Kepler-216 b,3874.0,14.054,Neptune-like,2014,6.12,2.352,0.079,0.021081451,,Transit
Kepler-216 c,3874.0,14.054,Neptune-like,2014,9.48,3.0352,0.136,0.047638603,,Transit
Kepler-217 b,3603.0,13.155,Neptune-like,2014,5.6,2.23,0.065,0.014784395,,Transit
Kepler-217 c,3603.0,13.155,Super Earth,2014,4.08,1.85,0.089,0.023545519,,Transit
Kepler-217 d,3603.0,13.155,Super Earth,2016,2.3,1.32,0.0505,0.010677618,,Transit
Kepler-218 b,2141.0,14.035,Super Earth,2014,2.79,1.48,0.046,0.009856262,,Transit
Kepler-218 c,2141.0,14.035,Neptune-like,2014,10.0,3.136,0.248,0.12238193,,Transit
Kepler-218 d,2141.0,14.035,Neptune-like,2016,7.56,2.6544,0.4865,0.34086242,,Transit
Kepler-219 b,2567.0,13.823,Neptune-like,2014,9.01,2.9456,0.057,0.012594113,,Transit
Kepler-219 c,2567.0,13.823,Neptune-like,2014,12.5,3.5728,0.165,0.062149215,,Transit
Kepler-219 d,2567.0,13.823,Super Earth,2014,19.1,2.8112,0.272,0.13114306,,Transit
Kepler-21 b,354.0,8.25,Super Earth,2012,5.08,1.639,0.042717,0.007665982,0.02,Transit
Kepler-220 b,558.0,13.049,Terrestrial,2014,0.46,0.81,0.046,0.011498973,,Transit
Kepler-220 c,558.0,13.049,Super Earth,2014,3.09,1.57,0.076,0.024640657,,Transit
Kepler-220 d,558.0,13.049,Terrestrial,2014,0.9,0.98,0.163,0.07693361,,Transit
Kepler-220 e,558.0,13.049,Super Earth,2014,2.33,1.33,0.226,0.12566735,,Transit
Kepler-221 b,1257.0,13.97,Super Earth,2014,3.57,1.71,0.037,0.007665982,,Transit
Kepler-221 c,1257.0,13.97,Super Earth,2014,15.1,2.9232,0.059,0.015605749,,Transit
Kepler-221 d,1257.0,13.97,Neptune-like,2014,7.9,2.7328,0.087,0.027378507,,Transit
Kepler-221 e,1257.0,13.97,Neptune-like,2014,7.41,2.632,0.13,0.050376453,,Transit
Kepler-222 b,2475.0,15.407,Neptune-like,2014,10.1,3.1584,0.048,0.010677618,,Transit
Kepler-222 c,2475.0,15.407,Neptune-like,2014,19.4,4.6368,0.091,0.027652293,,Transit
Kepler-222 d,2475.0,15.407,Neptune-like,2014,13.2,3.6848,0.18,0.07693361,,Transit
Kepler-223 b,6066.0,15.69,Neptune-like,2014,7.4,2.9904,0.0756,0.020260096,0.08,Transit
Kepler-223 c,6066.0,15.69,Neptune-like,2014,5.1,3.4384,0.0916,0.026830938,0.15,Transit
Kepler-223 d,6066.0,15.69,Neptune-like,2014,8.0,5.2304,0.1201,0.04052019,0.04,Transit
Kepler-223 e,6066.0,15.69,Neptune-like,2014,4.8,4.592,0.1455,0.053935662,0.05,Transit
Kepler-224 b,2551.0,15.801,Super Earth,2014,2.51,1.39,0.038,0.008487337,,Transit
Kepler-224 c,2551.0,15.801,Neptune-like,2014,9.91,3.1136,0.058,0.01615332,,Transit
Kepler-224 d,2551.0,15.801,Neptune-like,2014,5.9,2.296,0.089,0.030937715,,Transit
Kepler-224 e,2551.0,15.801,Super Earth,2014,4.54,1.97,0.124,0.050924025,,Transit
Kepler-225 b,1830.0,16.294,Super Earth,2014,1.87,1.2,0.056,0.0183436,,Transit
Kepler-225 c,1830.0,16.294,Super Earth,2014,4.04,1.84,0.111,0.05147159,,Transit
Kepler-226 b,3197.0,15.563,Super Earth,2014,24.0,1.55,0.047,0.010677618,,Transit
Kepler-226 c,3197.0,15.563,Super Earth,2014,45.16,2.2736,0.058,0.01451061,,Transit
Kepler-226 d,3197.0,15.563,Super Earth,2014,1.98,1.22,0.076,0.022176592,,Transit
Kepler-227 b,3533.0,15.623,Neptune-like,2014,9.85,3.1024,0.09,0.026009582,,Transit
Kepler-227 c,3533.0,15.623,Neptune-like,2014,9.48,3.0352,0.29,0.14893909,,Transit
Kepler-228 b,5365.0,15.902,Super Earth,2014,2.96,1.53,0.038,0.007118412,,Transit
Kepler-228 c,5365.0,15.902,Neptune-like,2014,7.75,2.6992,0.052,0.011225188,,Transit
Kepler-228 d,5365.0,15.902,Neptune-like,2014,15.4,4.032,0.101,0.030390145,,Transit
Kepler-229 b,2695.0,16.22,Neptune-like,2014,5.48,2.2,0.062,0.017248461,,Transit
Kepler-229 c,2695.0,16.22,Neptune-like,2014,21.5,4.9168,0.117,0.044079397,,Transit
Kepler-229 d,2695.0,16.22,Neptune-like,2014,14.2,3.8416,0.22,0.11279946,,Transit
Kepler-22 b,635.0,11.751,Super Earth,2011,36.0,2.3744,0.849,0.7937029,,Transit
Kepler-230 b,2416.0,15.264,Neptune-like,2014,16.8,4.256,0.191,0.08925393,,Transit
Kepler-230 c,2416.0,15.264,Super Earth,2014,4.82,2.04,0.38,0.2513347,,Transit
Kepler-231 b,1033.0,15.813,Super Earth,2014,35.4,1.73,0.074,0.027652293,,Transit
Kepler-231 c,1033.0,15.813,Super Earth,2014,24.1,1.93,0.114,0.05284052,,Transit
Kepler-232 b,4401.0,15.565,Neptune-like,2014,9.69,3.08,0.054,0.012046544,,Transit
Kepler-232 c,4401.0,15.565,Neptune-like,2014,14.0,3.8304,0.101,0.031211497,,Transit
Kepler-233 b,2794.0,15.477,Neptune-like,2014,6.48,2.4304,0.077,0.023271732,,Transit
Kepler-233 c,2794.0,15.477,Neptune-like,2014,7.8,2.7104,0.287,0.16536619,,Transit
Kepler-234 b,5653.0,15.747,Neptune-like,2014,13.2,3.696,0.04,0.007392197,,Transit
Kepler-234 c,5653.0,15.747,Neptune-like,2014,12.1,3.5056,0.077,0.019712524,,Transit
Kepler-235 b,1396.0,16.567,Neptune-like,2014,5.6,2.23,0.037,0.009034907,,Transit
Kepler-235 c,1396.0,16.567,Super Earth,2014,2.18,1.28,0.065,0.021355236,,Transit
Kepler-235 d,1396.0,16.567,Super Earth,2014,4.86,2.05,0.122,0.0550308,,Transit
Kepler-235 e,1396.0,16.567,Neptune-like,2014,5.56,2.22,0.213,0.12648872,,Transit
Kepler-236 b,942.0,16.014,Super Earth,2014,3.09,1.57,0.065,0.022724163,,Transit
Kepler-236 c,942.0,16.014,Super Earth,2014,4.66,2.0,0.132,0.06570842,,Transit
Kepler-237 b,2146.0,15.689,Super Earth,2014,2.57,1.41,0.05,0.012867898,,Transit
Kepler-237 c,2146.0,15.689,Super Earth,2014,4.98,2.08,0.071,0.022176592,,Transit
Kepler-238 b,5868.0,15.297,Super Earth,2014,3.64,1.73,0.034,0.005749486,,Transit
Kepler-238 c,5868.0,15.297,Neptune-like,2014,6.3,2.3856,0.069,0.016974675,,Transit
Kepler-238 d,5868.0,15.297,Neptune-like,2014,9.64,3.0688,0.115,0.03613963,,Transit
Kepler-238 e,5868.0,15.297,Neptune-like,2013,169.81,5.6,0.1658,0.06488707,,Transit
Kepler-238 f,5868.0,15.297,Super Earth,2013,13.5,2.0,0.2747,0.13798769,,Transit
Kepler-239 b,2114.0,15.252,Neptune-like,2014,6.04,2.3296,0.095,0.03230664,,Transit
Kepler-239 c,2114.0,15.252,Neptune-like,2014,6.85,2.5088,0.268,0.15386721,,Transit
Kepler-23 b,2726.0,13.567,Neptune-like,2011,254.4,1.9,0.075,0.01943874,0.06,Transit
Kepler-23 c,2726.0,13.567,Neptune-like,2011,858.6,3.192,0.099,0.029295003,0.02,Transit
Kepler-23 d,2726.0,13.567,Super Earth,2014,17.6,2.2,0.124,0.041889116,0.08,Transit
Kepler-240 b,2436.0,15.953,Super Earth,2014,2.45,1.37,0.048,0.011225188,,Transit
Kepler-240 c,2436.0,15.953,Super Earth,2014,102.4,2.2,0.074,0.021902807,,Transit
Kepler-241 b,1670.0,15.708,Neptune-like,2014,6.04,2.3296,0.094,0.034770705,,Transit
Kepler-241 c,1670.0,15.708,Neptune-like,2014,7.13,2.5648,0.189,0.09883641,,Transit
Kepler-242 b,1958.0,15.489,Neptune-like,2014,7.32,2.6096,0.075,0.022450376,,Transit
Kepler-242 c,1958.0,15.489,Super Earth,2014,4.66,2.0,0.109,0.039698835,,Transit
Kepler-243 b,2263.0,15.159,Neptune-like,2014,6.57,2.4528,0.062,0.015605749,,Transit
Kepler-243 c,2263.0,15.159,Super Earth,2014,4.62,1.99,0.142,0.054757014,,Transit
Kepler-244 b,3381.0,15.747,Neptune-like,2014,8.05,2.7552,0.05,0.011772759,,Transit
Kepler-244 c,3381.0,15.747,Super Earth,2014,4.86,2.05,0.087,0.026830938,,Transit
Kepler-244 d,3381.0,15.747,Super Earth,2014,15.2,2.3072,0.14,0.0550308,,Transit
Kepler-245 b,2810.0,15.546,Neptune-like,2014,7.13,2.5648,0.071,0.02053388,,Transit
Kepler-245 c,2810.0,15.546,Super Earth,2014,225.78,2.18,0.124,0.04791239,,Transit
Kepler-245 d,2810.0,15.546,Neptune-like,2014,21.6,3.024,0.202,0.09938398,,Transit
Kepler-245 e,2810.0,15.546,Super Earth,2016,3.71,1.75,0.04,0.008761123,,Transit
Kepler-246 b,2042.0,15.197,Neptune-like,2014,6.08,2.3408,0.052,0.012594113,,Transit
Kepler-246 c,2042.0,15.197,Super Earth,2014,2.86,1.5,0.095,0.030663928,,Transit
Kepler-247 b,2165.0,15.199,Super Earth,2014,3.33,1.64,0.042,0.009034907,,Transit
Kepler-247 c,2165.0,15.199,Neptune-like,2014,15.7,4.088,0.084,0.025735795,,Transit
Kepler-247 d,2165.0,15.199,Neptune-like,2014,14.7,3.9424,0.14,0.056125943,,Transit
Kepler-248 b,2410.0,15.506,Neptune-like,2014,9.38,3.0128,0.066,0.017248461,,Transit
Kepler-248 c,2410.0,15.506,Neptune-like,2014,15.6,4.0656,0.123,0.044353183,,Transit
Kepler-249 b,621.0,16.37,Super Earth,2014,1.32,1.09,0.035,0.009034907,,Transit
Kepler-249 c,621.0,16.37,Super Earth,2014,2.89,1.51,0.058,0.01943874,,Transit
Kepler-249 d,621.0,16.37,Super Earth,2014,3.09,1.57,0.097,0.042162903,,Transit
Kepler-24 b,3774.0,15.04,Neptune-like,2011,508.8,2.3968,0.08,0.022176592,,Transit
Kepler-24 c,3774.0,15.04,Neptune-like,2011,508.8,2.8,0.106,0.033675566,,Transit
Kepler-24 d,3774.0,15.04,Super Earth,2014,3.43,1.67,0.051,0.011498973,,Transit
Kepler-24 e,3774.0,15.04,Neptune-like,2014,8.15,2.7776,0.138,0.052019164,,Transit
Kepler-250 b,2481.0,15.819,Super Earth,2014,1.51,1.13,0.048,0.011225188,,Transit
Kepler-250 c,2481.0,15.819,Neptune-like,2014,5.82,2.2736,0.069,0.019712524,,Transit
Kepler-250 d,2481.0,15.819,Neptune-like,2014,5.39,2.18,0.127,0.048186176,,Transit
Kepler-251 b,3016.0,15.541,Super Earth,2014,2.33,1.33,0.053,0.013141684,,Transit
Kepler-251 c,3016.0,15.541,Neptune-like,2014,8.1,2.7664,0.122,0.04517454,,Transit
Kepler-251 d,3016.0,15.541,Neptune-like,2014,8.1,2.7664,0.182,0.08240931,,Transit
Kepler-251 e,3016.0,15.541,Neptune-like,2014,8.1,2.7664,0.404,0.27268994,,Transit
Kepler-252 b,1238.0,15.406,Super Earth,2014,2.04,1.23,0.058,0.0183436,,Transit
Kepler-252 c,1238.0,15.406,Neptune-like,2014,5.27,2.15,0.08,0.02956879,,Transit
Kepler-253 b,2735.0,15.778,Super Earth,2014,3.29,1.63,0.046,0.010403832,,Transit
Kepler-253 c,2735.0,15.778,Neptune-like,2014,7.51,2.6432,0.089,0.028199865,,Transit
Kepler-253 d,2735.0,15.778,Neptune-like,2014,10.2,3.1696,0.13,0.0495551,,Transit
Kepler-254 b,4532.0,16.012,Neptune-like,2014,14.3,3.864,0.064,0.015879534,,Transit
Kepler-254 c,4532.0,16.012,Neptune-like,2014,3.2,2.15,0.105,0.03394935,,Transit
Kepler-254 d,4532.0,16.012,Neptune-like,2014,6.8,2.4976,0.139,0.051197812,,Transit
Kepler-255 b,3433.0,15.699,Super Earth,2014,3.02,1.55,0.063,0.015605749,,Transit
Kepler-255 c,3433.0,15.699,Neptune-like,2014,9.22,2.9904,0.092,0.027104722,,Transit
Kepler-255 d,3433.0,15.699,Super Earth,2016,2.3,1.32,0.0192,0.002737851,,Transit
Kepler-256 b,3348.0,15.178,Super Earth,2014,3.15,1.59,0.027,0.004380561,,Transit
Kepler-256 c,3348.0,15.178,Neptune-like,2014,5.27,2.15,0.045,0.009308693,,Transit
Kepler-256 d,3348.0,15.178,Neptune-like,2014,6.71,2.4752,0.064,0.015879534,,Transit
Kepler-256 e,3348.0,15.178,Neptune-like,2014,6.12,2.352,0.096,0.029295003,,Transit
Kepler-257 b,2545.0,15.652,Neptune-like,2014,7.32,2.6096,0.034,0.006570842,,Transit
Kepler-257 c,2545.0,15.652,Neptune-like,2014,25.2,5.4096,0.066,0.018069815,,Transit
Kepler-257 d,2545.0,15.652,Neptune-like,2014,21.7,4.9504,0.16,0.06762492,,Transit
Kepler-258 b,1879.0,15.49,Neptune-like,2014,15.5,4.0544,0.103,0.03613963,,Transit
Kepler-258 c,1879.0,15.49,Neptune-like,2014,12.7,3.6064,0.193,0.092265576,,Transit
Kepler-259 b,3269.0,15.378,Neptune-like,2014,8.25,2.8,0.079,0.022176592,,Transit
Kepler-259 c,3269.0,15.378,Neptune-like,2014,7.75,2.6992,0.217,0.1010267,,Transit
Kepler-25 b,793.0,10.769,Neptune-like,2011,8.7,2.744,0.0685,0.016974675,,Transit
Kepler-25 c,793.0,10.769,Neptune-like,2011,15.2,5.208,0.1101,0.034770705,0.01,Transit
Kepler-25 d,793.0,10.769,Gas Giant,2014,71.87,10.0128,,0.33511293,0.13,Radial Velocity
Kepler-260 b,2046.0,14.253,Super Earth,2014,4.7,2.01,0.075,0.022450376,,Transit
Kepler-260 c,2046.0,14.253,Super Earth,2014,3.68,1.74,0.332,0.20835043,,Transit
Kepler-261 b,1036.0,13.738,Neptune-like,2014,5.39,2.18,0.088,0.028473647,,Transit
Kepler-261 c,1036.0,13.738,Super Earth,2014,4.66,2.0,0.156,0.06735113,,Transit
Kepler-262 b,2000.0,14.478,Super Earth,2014,2.42,1.36,0.108,0.035865847,,Transit
Kepler-262 c,2000.0,14.478,Super Earth,2014,3.33,1.64,0.152,0.05995893,,Transit
Kepler-263 b,2462.0,15.435,Neptune-like,2014,7.61,2.6656,0.12,0.045448326,,Transit
Kepler-263 c,2462.0,15.435,Neptune-like,2014,6.66,2.464,0.242,0.12950034,,Transit
Kepler-264 b,3073.0,13.15,Neptune-like,2014,11.1,3.3264,0.249,0.11170431,,Transit
Kepler-264 c,3073.0,13.15,Neptune-like,2014,8.4,2.8224,0.566,0.3835729,,Transit
Kepler-265 b,4176.0,15.47,Super Earth,2014,4.12,1.86,0.069,0.018617386,,Transit
Kepler-265 c,4176.0,15.47,Neptune-like,2014,7.41,2.632,0.127,0.046543464,,Transit
Kepler-265 d,4176.0,15.47,Neptune-like,2014,6.76,2.4864,0.236,0.118001364,,Transit
Kepler-265 e,4176.0,15.47,Neptune-like,2014,7.22,2.5872,0.319,0.1856263,,Transit
Kepler-266 b,4472.0,15.787,Neptune-like,2014,6.71,2.4752,0.071,0.018069815,,Transit
Kepler-266 c,4472.0,15.787,Neptune-like,2014,14.4,3.8864,0.457,0.29486653,,Transit
Kepler-267 b,864.0,16.69,Super Earth,2014,37.9,1.98,0.037,0.009308693,,Transit
Kepler-267 c,864.0,16.69,Neptune-like,2014,5.18,2.13,0.06,0.01889117,,Transit
Kepler-267 d,864.0,16.69,Neptune-like,2014,5.77,2.2736,0.154,0.078028746,,Transit
Kepler-268 b,2779.0,13.844,Neptune-like,2014,7.04,2.5424,0.18,0.070910335,,Transit
Kepler-268 c,2779.0,13.844,Neptune-like,2014,11.4,3.3824,0.391,0.22833677,,Transit
Kepler-269 b,7363.0,15.646,Neptune-like,2014,6.66,2.464,0.061,0.01451061,,Transit
Kepler-269 c,7363.0,15.646,Super Earth,2014,3.5,1.69,0.081,0.022176592,,Transit
Kepler-26 b,1094.0,15.853,Neptune-like,2011,5.12,2.7776,0.08551,0.033675566,,Transit
Kepler-26 c,1094.0,15.853,Neptune-like,2011,6.2,2.7216,0.10725,0.047364816,,Transit
Kepler-26 d,1094.0,15.853,Super Earth,2014,1.24,1.07,0.039,0.009582478,,Transit
Kepler-26 e,1094.0,15.853,Neptune-like,2014,6.39,2.408,0.22,0.12813142,,Transit
Kepler-270 b,3095.0,13.9,Super Earth,2014,4.7,2.01,0.107,0.031485286,,Transit
Kepler-270 c,3095.0,13.9,Super Earth,2014,3.78,1.77,0.18,0.06926762,,Transit
Kepler-271 b,1320.0,13.578,Super Earth,2014,2.04,1.23,0.0881,0.028473647,,Transit
Kepler-271 c,1320.0,13.578,Terrestrial,2014,0.81,0.95,0.0702,0.020260096,,Transit
Kepler-271 d,1320.0,13.578,Terrestrial,2016,0.22,0.66,0.0558,0.014236824,,Transit
Kepler-272 b,2902.0,14.811,Super Earth,2014,77.91,1.43,0.038,0.008213553,,Transit
Kepler-272 c,2902.0,14.811,Super Earth,2014,97.94,1.79,0.061,0.01670089,,Transit
Kepler-272 d,2902.0,14.811,Neptune-like,2014,5.69,2.2512,0.091,0.029842572,,Transit
Kepler-273 b,2329.0,15.1,Super Earth,2014,2.86,1.5,0.037,0.007939767,,Transit
Kepler-273 c,2329.0,15.1,Super Earth,2014,4.58,1.98,0.073,0.021902807,,Transit
Kepler-274 b,4350.0,15.238,Super Earth,2014,2.99,1.54,0.101,0.03175907,,Transit
Kepler-274 c,4350.0,15.238,Super Earth,2014,4.04,1.84,0.204,0.09089665,,Transit
Kepler-275 b,6636.0,15.289,Neptune-like,2014,6.08,2.3408,0.098,0.028199865,,Transit
Kepler-275 c,6636.0,15.289,Neptune-like,2014,11.4,3.3824,0.132,0.044079397,,Transit
Kepler-275 d,6636.0,15.289,Neptune-like,2014,11.1,3.3264,0.224,0.097741276,,Transit
Kepler-276 b,3735.0,15.481,Neptune-like,2014,8.6,2.8672,0.119,0.038603697,,Transit
Kepler-276 c,3735.0,15.481,Super Earth,2013,16.6,2.9008,0.1994,0.08733744,,Transit
Kepler-276 d,3735.0,15.481,Super Earth,2013,16.3,2.8,0.2642,0.13305955,,Transit
Kepler-277 b,3186.0,13.544,Gas Giant,2013,87.45,2.9232,0.1385,0.047364816,,Transit
Kepler-277 c,3186.0,13.544,Gas Giant,2013,64.24,3.36,0.2129,0.09034908,,Transit
Kepler-278 b,1445.0,11.811,Neptune-like,2014,15.6,4.0656,0.207,0.082683094,0.04,Transit
Kepler-278 c,1445.0,11.811,Neptune-like,2014,12.6,3.584,0.294,0.13990417,0.51,Transit
Kepler-279 b,3384.0,13.647,Neptune-like,2014,12.8,3.6176,0.112,0.033675566,,Transit
Kepler-279 c,3384.0,13.647,Gas Giant,2013,49.29,4.3008,0.2236,0.097741276,,Transit
Kepler-279 d,3384.0,13.647,Neptune-like,2013,37.5,3.1024,0.2901,0.14893909,,Transit
Kepler-27 b,3407.0,15.822,Gas Giant,2011,2896.98,3.9984,0.118,0.041889116,,Transit
Kepler-27 c,3407.0,15.822,Gas Giant,2011,4388.4,4.8944,0.191,0.08569473,,Transit
Kepler-27 d,3407.0,15.822,Neptune-like,2021,7.78,2.6992,0.0668,0.01779603,,Transit
Kepler-280 b,2546.0,14.35,Super Earth,2014,2.7,1.45,0.032,0.005749486,,Transit
Kepler-280 c,2546.0,14.35,Super Earth,2014,4.7,2.01,0.056,0.013141684,,Transit
Kepler-281 b,5694.0,15.931,Neptune-like,2014,8.35,2.8224,0.117,0.039972622,,Transit
Kepler-281 c,5694.0,15.931,Neptune-like,2014,24.4,5.3088,0.215,0.09938398,,Transit
Kepler-281 d,5694.0,15.931,Neptune-like,2021,29.5,5.936,0.5456,0.4060233,,Transit
Kepler-282 b,4363.0,15.444,Super Earth,2014,1.01,1.01,0.082,0.025188226,,Transit
Kepler-282 c,4363.0,15.444,Super Earth,2014,1.87,1.2,0.106,0.037234772,,Transit
Kepler-282 d,4363.0,15.444,Super Earth,2013,61.06,2.4528,0.154,0.0678987,,Transit
Kepler-282 e,4363.0,15.444,Gas Giant,2013,56.29,3.1024,0.2269,0.12128679,,Transit
Kepler-283 b,1527.0,16.216,Neptune-like,2014,5.18,2.13,0.082,0.030116359,,Transit
Kepler-283 c,1527.0,16.216,Super Earth,2014,3.97,1.82,0.341,0.25379875,,Transit
Kepler-284 b,3366.0,15.944,Neptune-like,2014,5.65,2.24,0.104,0.034770705,,Transit
Kepler-284 c,3366.0,15.944,Neptune-like,2014,7.32,2.6096,0.213,0.1026694,,Transit
Kepler-285 b,2689.0,15.198,Super Earth,2014,2.36,1.34,0.036,0.007118412,,Transit
Kepler-285 c,2689.0,15.198,Super Earth,2014,1.46,1.12,0.064,0.016974675,,Transit
Kepler-286 b,4002.0,15.863,Super Earth,2014,2.07,1.24,0.027,0.004928131,,Transit
Kepler-286 c,4002.0,15.863,Super Earth,2014,2.45,1.37,0.042,0.009582478,,Transit
Kepler-286 d,4002.0,15.863,Super Earth,2014,2.33,1.33,0.061,0.01615332,,Transit
Kepler-286 e,4002.0,15.863,Super Earth,2014,3.78,1.77,0.176,0.079945244,,Transit
Kepler-287 b,2727.0,14.952,Neptune-like,2014,6.04,2.3296,0.145,0.05557837,,Transit
Kepler-287 c,2727.0,14.952,Neptune-like,2014,10.7,3.2592,0.246,0.122929506,,Transit
Kepler-288 b,3895.0,15.283,Super Earth,2014,3.43,1.67,0.065,0.01670089,,Transit
Kepler-288 c,3895.0,15.283,Neptune-like,2014,8.5,2.8448,0.14,0.05284052,,Transit
Kepler-288 d,3895.0,15.283,Neptune-like,2014,7.61,2.6656,0.287,0.15496235,,Transit
Kepler-289 b,2298.0,14.142,Super Earth,2014,7.3,2.15,0.21,0.09445585,,Transit
Kepler-289 c,2298.0,14.142,Gas Giant,2014,133.56,11.5808,0.51,0.34469542,,Transit
Kepler-289 d,2298.0,14.142,Neptune-like,2014,4.0,2.6768,0.33,0.18097194,,Transit
Kepler-28 b,1430.0,15.13,Neptune-like,2011,480.18,3.5952,0.062,0.01615332,,Transit
Kepler-28 c,1430.0,15.13,Neptune-like,2011,432.48,3.3936,0.081,0.024640657,,Transit
Kepler-290 b,2266.0,15.775,Neptune-like,2014,5.69,2.2512,0.11,0.039972622,,Transit
Kepler-290 c,2266.0,15.775,Neptune-like,2014,7.75,2.6992,0.205,0.100752905,,Transit
Kepler-291 b,5827.0,16.218,Neptune-like,2014,5.31,2.16,0.047,0.009582478,,Transit
Kepler-291 c,5827.0,16.218,Super Earth,2014,4.19,1.88,0.065,0.015605749,,Transit
Kepler-292 b,3446.0,16.303,Super Earth,2014,2.3,1.32,0.035,0.007118412,,Transit
Kepler-292 c,3446.0,16.303,Super Earth,2014,2.76,1.47,0.045,0.010130048,,Transit
Kepler-292 d,3446.0,16.303,Neptune-like,2014,5.6,2.23,0.068,0.01943874,,Transit
Kepler-292 e,3446.0,16.303,Neptune-like,2014,7.61,2.6656,0.097,0.03285421,,Transit
Kepler-292 f,3446.0,16.303,Neptune-like,2014,6.12,2.352,0.141,0.056947295,,Transit
Kepler-293 b,3179.0,15.452,Neptune-like,2014,9.64,3.0688,0.144,0.05284052,,Transit
Kepler-293 c,3179.0,15.452,Neptune-like,2014,14.0,3.8304,0.286,0.14839152,,Transit
Kepler-294 b,4427.0,15.948,Super Earth,2014,3.78,1.77,0.048,0.010130048,,Transit
Kepler-294 c,4427.0,15.948,Neptune-like,2014,7.8,2.7104,0.071,0.018069815,,Transit
Kepler-295 b,5543.0,14.631,Super Earth,2014,1.98,1.22,0.099,0.034496922,,Transit
Kepler-295 c,5543.0,14.631,Super Earth,2014,1.71,1.17,0.142,0.058863793,,Transit
Kepler-295 d,5543.0,14.631,Super Earth,2014,2.42,1.36,0.192,0.09281315,,Transit
