#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
K2-133 d,245.0,14.073,Super Earth,2017,4.67,2.003,0.07487,0.030116359,,Transit
K2-133 e,245.0,14.073,Super Earth,2019,3.64,1.73,0.1346,0.07282683,,Transit
K2-136 b,193.0,11.101,Terrestrial,2017,0.94,0.99,,0.021902807,0.1,Transit
K2-136 c,193.0,11.101,Neptune-like,2017,8.8,2.912,0.11728,0.047364816,0.13,Transit
K2-136 d,193.0,11.101,Super Earth,2017,2.7,1.45,,0.07008898,0.14,Transit
K2-137 b,323.0,15.94,Terrestrial,2017,159.0,0.64,0.0058,0.00054757,,Transit
K2-138 b,661.0,12.246,Super Earth,2017,3.1,1.51,0.03385,0.006570842,0.05,Transit
K2-138 c,661.0,12.246,Neptune-like,2017,6.31,2.296,0.04461,0.009856262,0.05,Transit
K2-138 d,661.0,12.246,Super Earth,2017,7.92,2.3856,0.05893,0.014784395,0.04,Transit
K2-138 e,661.0,12.246,Neptune-like,2017,12.97,3.3824,0.0782,0.022724163,0.08,Transit
K2-138 f,661.0,12.246,Terrestrial,2017,1.63,2.9008,0.10447,0.03504449,0.06,Transit
K2-138 g,661.0,12.246,Neptune-like,2021,4.32,3.0128,0.23109,0.114989735,0.06,Transit
K2-139 b,502.0,11.652,Gas Giant,2017,123.07,9.1056,0.1796,0.07775496,0.12,Transit
K2-13 b,1117.0,12.882,Super Earth,2015,4.23,1.89,0.2114,0.10924025,,Transit
K2-140 b,1135.0,12.727,Gas Giant,2017,295.74,13.552,0.068,0.018069815,,Transit
K2-141 b,202.0,11.454,Super Earth,2018,5.08,1.51,0.00716,0.000821355,,Transit
K2-141 c,202.0,11.454,Neptune-like,2018,7.4,6.9888,,0.021081451,,Transit
K2-146 b,259.0,16.7,Super Earth,2018,5.77,2.05,0.0248,0.007118412,0.13,Transit
K2-146 c,259.0,16.7,Super Earth,2019,7.49,2.19,0.0327,0.010951404,0.08,Transit
K2-147 b,295.0,14.044,Terrestrial,2018,0.32,0.73,0.0159,0.002737851,,Transit
K2-148 b,406.0,13.627,Super Earth,2018,2.33,1.33,0.0454,0.012046544,,Transit
K2-148 c,406.0,13.627,Super Earth,2018,3.64,1.73,0.0616,0.01889117,,Transit
K2-148 d,406.0,13.627,Super Earth,2018,3.33,1.64,0.0774,0.026830938,,Transit
K2-149 b,403.0,14.543,Super Earth,2018,3.33,1.64,0.083,0.030937715,,Transit
K2-14 b,1188.0,15.78,Neptune-like,2015,20.7,4.8048,0.0627,0.022997946,0.14,Transit
K2-150 b,334.0,15.784,Super Earth,2018,4.66,2.0,0.0727,0.02902122,,Transit
K2-151 b,227.0,14.175,Super Earth,2018,2.83,1.49,0.0373,0.010403832,,Transit
K2-152 b,354.0,13.728,Neptune-like,2018,5.86,2.2848,0.1716,0.08925393,,Transit
K2-153 b,467.0,14.96,Super Earth,2018,4.66,2.0,0.0614,0.02053388,,Transit
K2-154 b,422.0,13.861,Super Earth,2018,4.62,1.99,0.0405,0.010130048,,Transit
K2-154 c,422.0,13.861,Super Earth,2018,4.94,2.07,0.0677,0.021902807,,Transit
K2-155 b,237.0,12.773,Super Earth,2018,3.89,1.8,0.0562,0.017248461,,Transit
K2-155 c,237.0,12.773,Neptune-like,2018,7.27,2.5984,0.0946,0.038056124,,Transit
K2-155 d,237.0,12.773,Super Earth,2018,4.27,1.9,0.1937,0.111430526,,Transit
K2-156 b,490.0,13.4,Super Earth,2018,1.37,1.1,0.0149,0.002190281,,Transit
K2-157 b,973.0,12.942,Terrestrial,2018,0.97,1.0,,0.00109514,,Transit
K2-158 b,644.0,11.774,Neptune-like,2018,7.46,2.6432,0.0887,0.027652293,,Transit
K2-158 c,644.0,11.774,Super Earth,2018,2.18,1.28,0.0622,0.01615332,,Transit
K2-159 b,558.0,11.995,Neptune-like,2018,5.73,2.2624,0.1013,0.03394935,,Transit
K2-15 b,1611.0,14.758,Neptune-like,2015,6.71,2.4752,0.091,0.03230664,,Transit
K2-160 b,1029.0,12.838,Neptune-like,2018,10.2,3.1808,,0.010130048,,Transit
K2-161 b,2989.0,12.718,Neptune-like,2018,31.1,6.1152,,0.025462013,,Transit
K2-162 b,406.0,12.278,Super Earth,2018,2.67,1.44,0.0795,0.026009582,,Transit
K2-163 b,680.0,13.078,Neptune-like,2018,6.65,2.464,,0.0183436,,Transit
K2-164 b,1225.0,11.352,Neptune-like,2018,10.6,3.248,,0.047638603,,Transit
K2-165 b,439.0,11.332,Super Earth,2018,2.17,1.274,,0.006570842,,Transit
K2-165 c,439.0,11.332,Super Earth,2018,3.03,1.554,,0.012046544,,Transit
K2-165 d,439.0,11.332,Neptune-like,2018,7.5,2.6432,,0.038603697,,Transit
K2-166 b,1556.0,12.081,Neptune-like,2018,5.43,2.19,0.0858,0.023271732,,Transit
K2-167 b,264.0,8.24,Neptune-like,2018,5.75,2.2624,0.0999,0.027378507,0.41,Transit
K2-168 b,796.0,12.365,Super Earth,2018,4.12,1.86,,0.043531828,,Transit
K2-169 b,769.0,12.23,Super Earth,2018,2.16,1.273,,0.017522246,,Transit
K2-16 b,1093.0,14.668,Super Earth,2015,4.74,2.02,0.0667,0.020807665,,Transit
K2-16 c,1093.0,14.668,Neptune-like,2015,6.99,2.5424,0.1229,0.05229295,,Transit
K2-170 b,1282.0,12.668,Super Earth,2018,2.6,1.418,,0.020807665,,Transit
K2-170 c,1282.0,12.668,Super Earth,2018,3.9,1.802,,0.03394935,,Transit
K2-171 b,1977.0,12.745,Neptune-like,2018,7.69,2.688,,0.015331964,,Transit
K2-172 b,815.0,12.5,Super Earth,2018,3.42,1.666,,0.039151266,,Transit
K2-172 c,815.0,12.5,Neptune-like,2018,10.4,3.2032,,0.08104038,,Transit
K2-173 b,746.0,12.523,Super Earth,2018,3.22,1.608,,0.01615332,,Transit
K2-174 b,326.0,12.456,Neptune-like,2018,7.27,2.5984,0.126,0.053661875,,Transit
K2-175 b,807.0,10.836,Super Earth,2018,4.81,2.038,,0.026009582,,Transit
K2-176 b,807.0,12.909,Super Earth,2018,2.83,1.491,,0.01451061,,Transit
K2-177 b,1605.0,12.681,Neptune-like,2018,5.13,2.116,,0.03887748,,Transit
K2-178 b,701.0,12.382,Neptune-like,2018,12.4,3.5504,,0.023819301,,Transit
K2-179 b,622.0,12.939,Neptune-like,2018,6.86,2.5088,,0.014236824,,Transit
K2-17 b,408.0,13.411,Neptune-like,2015,5.6,2.23,0.119,0.049281314,0.18,Transit
K2-180 b,665.0,12.557,Super Earth,2018,11.44,2.52,0.0734,0.02436687,,Transit
K2-181 b,1177.0,12.669,Neptune-like,2018,8.45,2.8336,0.0706,0.01889117,,Transit
K2-182 b,505.0,11.833,Neptune-like,2018,20.0,2.688,0.0526,0.012867898,0.04,Transit
K2-183 b,1073.0,12.867,Super Earth,2018,1.37,1.1,,0.001368925,,Transit
K2-183 c,1073.0,12.867,Neptune-like,2018,5.9,2.296,0.0932,0.02956879,,Transit
K2-183 d,1073.0,12.867,Neptune-like,2018,5.9,2.296,0.1527,0.06187543,,Transit
K2-184 b,247.0,10.345,Super Earth,2018,2.76,1.47,0.1685,0.046543464,,Transit
K2-185 b,875.0,12.235,Super Earth,2018,1.6,1.15,,0.02902122,,Transit
K2-185 c,875.0,12.235,Neptune-like,2018,6.3,2.3856,,0.14428474,,Transit
K2-186 b,1079.0,12.413,Neptune-like,2018,10.2,3.1696,,0.11362081,,Transit
